eeid,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_percent,country,city,exit_date
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,04/08/2016,"$141,604",15%,United States,Seattle,10/16/2021
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,11/29/1997,"$99,975",0%,China,Chongqing,NA
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,10/26/2006,"$163,099",20%,United States,Chicago,NA
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,09/27/2019,"$84,913",7%,United States,Chicago,NA
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,11/20/1995,"$95,409",0%,United States,Phoenix,NA
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,01/24/2017,"$50,994",0%,China,Chongqing,NA
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,07/01/2020,"$119,746",10%,United States,Phoenix,NA
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,05/16/2020,"$41,336",0%,United States,Miami,5/20/2021
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,01/25/2019,"$113,527",6%,United States,Austin,NA
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,06/13/2018,"$77,203",0%,United States,Chicago,NA
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,02/11/2009,"$157,333",15%,United States,Miami,NA
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,10/21/2021,"$109,851",0%,United States,Seattle,NA
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,03/14/1999,"$105,086",9%,United States,Austin,NA
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,06/10/2021,"$146,742",10%,China,Shanghai,NA
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,11/04/2017,"$97,078",0%,United States,Austin,3/9/2020
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,03/13/2013,"$249,270",30%,United States,Seattle,NA
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,03/04/2002,"$175,837",20%,United States,Phoenix,NA
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,12/01/2003,"$154,828",13%,United States,Seattle,NA
E04116,David Barnes,Director,IT,Corporate,Male,Caucasian,64,11/03/2013,"$186,503",24%,United States,Columbus,NA
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,07/09/2002,"$166,331",18%,China,Chongqing,NA
